Date,Mkt-RF,SMB,HML,RMW,CMA,RF
08-18-2016,0.32,0.49,0.34,-0.46,0.36,0.001
08-19-2016,-0.11,0.07,-0.13,0.22,-0.12,0.001
08-22-2016,-0.02,0.23,-0.4,0.01,-0.39,0.001
08-23-2016,0.26,0.55,-0.01,-0.02,0.06,0.001
08-24-2016,-0.55,-0.45,0.37,0.43,-0.08,0.001
08-25-2016,-0.08,0.21,0.48,-0.26,0.29,0.001
08-26-2016,-0.15,0.12,-0.09,-0.39,-0.21,0.001
08-29-2016,0.53,-0.01,0.34,-0.08,0.19,0.001
08-30-2016,-0.14,0.22,0.28,-0.12,-0.33,0.001
08-31-2016,-0.24,-0.35,0.15,0.25,-0.37,0.001
09-01-2016,0.03,0.05,-0.51,0.1,-0.14,0.001
09-02-2016,0.53,0.43,0.36,-0.15,0.21,0.001
09-06-2016,0.27,0.03,-0.55,-0.6,-0.04,0.001
09-07-2016,0.09,0.61,0.02,-0.05,-0.23,0.001
09-08-2016,-0.18,0.04,0.59,-0.84,0.39,0.001
09-09-2016,-2.46,-0.57,0.43,0,-0.44,0.001
09-12-2016,1.44,-0.04,-0.45,-0.15,-0.19,0.001
09-13-2016,-1.48,-0.31,-0.43,0.55,-0.71,0.001
09-14-2016,-0.08,0.05,-0.81,0.09,-0.48,0.001
09-15-2016,1.08,0.3,-0.32,0.07,-0.19,0.001
09-16-2016,-0.36,0.29,-0.44,0.21,-0.19,0.001
09-19-2016,0.05,0.51,0.15,-0.09,0.35,0.001
