Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
12/18/2023,12,,,18,2023,18/12/2023,0.36,0.35,0.36,0.35,1.68M,1.41%
12/15/2023,12,,,15,2023,15/12/2023,0.355,0.36,0.37,0.35,1.54M,1.43%
12/14/2023,12,,,14,2023,14/12/2023,0.35,0.36,0.365,0.345,1.78M,-1.41%
12/13/2023,12,,,13,2023,13/12/2023,0.355,0.365,0.365,0.35,551.39K,-2.74%
12-12-2023,12,12,2023,,,12/12/2023,0.365,0.36,0.365,0.35,1.27M,1.39%
12-11-2023,12,11,2023,,,11/12/2023,0.36,0.36,0.365,0.355,1.23M,0.00%
12-08-2023,12,8,2023,,,8/12/2023,0.36,0.355,0.37,0.355,557.03K,-1.37%
12-07-2023,12,7,2023,,,7/12/2023,0.365,0.365,0.365,0.355,376.61K,0.00%
12-06-2023,12,6,2023,,,6/12/2023,0.365,0.355,0.365,0.355,653.16K,1.39%
12-05-2023,12,5,2023,,,5/12/2023,0.36,0.365,0.37,0.36,2.47M,-1.37%
12-04-2023,12,4,2023,,,4/12/2023,0.365,0.38,0.38,0.365,1.20M,-3.95%
12-01-2023,12,1,2023,,,1/12/2023,0.38,0.375,0.38,0.37,1.22M,1.33%
11/30/2023,11,,,30,2023,30/11/2023,0.375,0.395,0.395,0.375,1.10M,-1.32%
11/29/2023,11,,,29,2023,29/11/2023,0.38,0.415,0.415,0.37,5.95M,-6.17%
11/28/2023,11,,,28,2023,28/11/2023,0.405,0.42,0.42,0.405,975.23K,0.00%
11/27/2023,11,,,27,2023,27/11/2023,0.405,0.42,0.43,0.405,1.40M,-3.57%
11/24/2023,11,,,24,2023,24/11/2023,0.42,0.425,0.435,0.415,1.33M,-1.18%
11/23/2023,11,,,23,2023,23/11/2023,0.425,0.405,0.425,0.395,3.16M,3.66%
11/22/2023,11,,,22,2023,22/11/2023,0.41,0.395,0.415,0.395,1.80M,2.50%
11/21/2023,11,,,21,2023,21/11/2023,0.4,0.43,0.43,0.4,1.53M,-3.61%
11/20/2023,11,,,20,2023,20/11/2023,0.415,0.38,0.44,0.38,4.50M,9.21%
11/17/2023,11,,,17,2023,17/11/2023,0.38,0.4,0.4,0.375,3.51M,-5.00%
11/16/2023,11,,,16,2023,16/11/2023,0.4,0.395,0.4,0.39,1.20M,1.27%
11/15/2023,11,,,15,2023,15/11/2023,0.395,0.405,0.415,0.39,4.12M,-2.47%
11/14/2023,11,,,14,2023,14/11/2023,0.405,0.41,0.41,0.395,2.58M,-2.41%
11/13/2023,11,,,13,2023,13/11/2023,0.415,0.42,0.42,0.4,1.17M,-2.35%
11-10-2023,11,10,2023,,,10/11/2023,0.425,0.43,0.43,0.415,1.61M,-2.30%
11-09-2023,11,9,2023,,,9/11/2023,0.435,0.425,0.435,0.425,926.65K,2.35%
11-08-2023,11,8,2023,,,8/11/2023,0.425,0.43,0.44,0.425,996.23K,-1.16%
11-07-2023,11,7,2023,,,7/11/2023,0.43,0.445,0.445,0.43,719.45K,-2.27%
11-06-2023,11,6,2023,,,6/11/2023,0.44,0.435,0.44,0.43,1.37M,2.33%
11-03-2023,11,3,2023,,,3/11/2023,0.43,0.425,0.435,0.42,2.15M,1.18%
11-02-2023,11,2,2023,,,2/11/2023,0.425,0.445,0.445,0.425,896.94K,-1.16%
11-01-2023,11,1,2023,,,1/11/2023,0.43,0.425,0.44,0.425,933.84K,0.00%
10/31/2023,10,,,31,2023,31/10/2023,0.43,0.45,0.45,0.425,1.30M,-1.15%
10/30/2023,10,,,30,2023,30/10/2023,0.435,0.44,0.45,0.435,1.76M,-3.33%
10/27/2023,10,,,27,2023,27/10/2023,0.45,0.43,0.45,0.43,906.21K,2.27%
10/26/2023,10,,,26,2023,26/10/2023,0.44,0.44,0.465,0.435,2.76M,2.33%
10/25/2023,10,,,25,2023,25/10/2023,0.43,0.425,0.445,0.425,1.15M,0.00%
10/24/2023,10,,,24,2023,24/10/2023,0.43,0.45,0.455,0.425,4.95M,-5.49%
10/20/2023,10,,,20,2023,20/10/2023,0.455,0.47,0.47,0.445,1.19M,-1.09%
10/19/2023,10,,,19,2023,19/10/2023,0.46,0.465,0.47,0.46,791.32K,-1.08%
10/18/2023,10,,,18,2023,18/10/2023,0.465,0.475,0.475,0.46,2.27M,0.00%
10/17/2023,10,,,17,2023,17/10/2023,0.465,0.475,0.48,0.465,3.58M,-2.11%
10/16/2023,10,,,16,2023,16/10/2023,0.475,0.485,0.495,0.47,2.18M,-2.06%
10/13/2023,10,,,13,2023,13/10/2023,0.485,0.495,0.56,0.485,11.81M,0.00%
10-12-2023,10,12,2023,,,12/10/2023,0.485,0.475,0.49,0.47,2.56M,2.11%
10-11-2023,10,11,2023,,,11/10/2023,0.475,0.48,0.485,0.47,989.11K,1.06%
10-10-2023,10,10,2023,,,10/10/2023,0.47,0.47,0.48,0.465,949.68K,0.00%
10-09-2023,10,9,2023,,,9/10/2023,0.47,0.47,0.475,0.465,557.05K,-1.05%
10-06-2023,10,6,2023,,,6/10/2023,0.475,0.485,0.485,0.475,330.50K,0.00%
10-05-2023,10,5,2023,,,5/10/2023,0.475,0.485,0.485,0.47,460.18K,0.00%
10-04-2023,10,4,2023,,,4/10/2023,0.475,0.47,0.48,0.46,1.24M,1.06%
