Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
03/15/2024,3,,,15,2024,15/3/2024,"1,902.60","1,902.00","1,944.95","1,870.45",1.75M,0.39%
03/14/2024,3,,,14,2024,14/3/2024,"1,895.30","1,716.00","1,913.00","1,663.20",1.88M,9.87%
03/13/2024,3,,,13,2024,13/3/2024,"1,725.00","1,897.10","1,916.60","1,650.00",2.35M,-9.07%
03-12-2024,3,12,2024,,,12/3/2024,"1,897.10","1,930.00","1,939.00","1,873.10",639.41K,-1.72%
03-11-2024,3,11,2024,,,11/3/2024,"1,930.30","1,930.00","1,983.55","1,904.10",755.93K,0.06%
03-07-2024,3,7,2024,,,7/3/2024,"1,929.10","1,919.90","1,949.95","1,910.80",517.47K,0.97%
03-06-2024,3,6,2024,,,6/3/2024,"1,910.50","1,950.00","1,953.50","1,894.30",643.44K,-1.89%
03-05-2024,3,5,2024,,,5/3/2024,"1,947.40","1,943.20","1,970.00","1,938.00",415.46K,0.35%
03-04-2024,3,4,2024,,,4/3/2024,"1,940.70","1,977.55","1,998.55","1,930.00",609.44K,-1.54%
03-02-2024,3,2,2024,,,2/3/2024,"1,971.00","1,979.95","1,979.95","1,946.00",115.73K,0.07%
03-01-2024,3,1,2024,,,1/3/2024,"1,969.55","1,930.00","1,998.00","1,930.00",947.40K,3.93%
02/29/2024,2,,,29,2024,29/2/2024,"1,895.05","1,921.00","1,947.35","1,855.95",2.24M,-1.20%
02/28/2024,2,,,28,2024,28/2/2024,"1,918.15","1,989.80","1,996.50","1,891.00",916.81K,-3.10%
02/27/2024,2,,,27,2024,27/2/2024,"1,979.50","1,964.00","2,018.95","1,947.95",1.00M,0.46%
02/26/2024,2,,,26,2024,26/2/2024,"1,970.45","1,931.40","2,000.00","1,925.00",2.00M,2.45%
02/23/2024,2,,,23,2024,23/2/2024,"1,923.30","1,930.50","1,943.30","1,910.00",599.09K,0.03%
02/22/2024,2,,,22,2024,22/2/2024,"1,922.65","1,915.00","1,930.00","1,866.70",680.14K,0.93%
02/21/2024,2,,,21,2024,21/2/2024,"1,904.95","1,926.00","1,962.10","1,880.05",1.18M,-1.13%
02/20/2024,2,,,20,2024,20/2/2024,"1,926.65","1,963.70","1,964.00","1,920.00",1.25M,-1.45%
