"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2015","3.7503","3.7503","3.7508","3.7501","","0.00%"
"09/24/2015","3.7504","3.7504","3.7507","3.7500","","-0.01%"
"09/23/2015","3.7507","3.7508","3.7512","3.7505","","0.01%"
"09/22/2015","3.7503","3.7491","3.7512","3.7489","","0.03%"
"09/21/2015","3.7490","3.7490","3.7512","3.7489","","-0.04%"
"09/20/2015","3.7504","3.7501","3.7506","3.7492","","0.01%"
"09/19/2015","3.7502","3.7490","3.7502","3.7490","","-0.01%"
"09/18/2015","3.7504","3.7483","3.7508","3.7473","","0.06%"
"09/17/2015","3.7481","3.7496","3.7523","3.7481","","-0.02%"
"09/16/2015","3.7490","3.7511","3.7523","3.7490","","-0.05%"
"09/15/2015","3.7507","3.7503","3.7520","3.7491","","0.01%"
"09/14/2015","3.7504","3.7503","3.7523","3.7500","","0.03%"
"09/13/2015","3.7493","3.7509","3.7515","3.7493","","0.00%"
"09/12/2015","3.7492","3.7492","3.7492","3.7492","","0.00%"
"09/11/2015","3.7493","3.7506","3.7510","3.7485","","0.00%"
"09/10/2015","3.7492","3.7504","3.7523","3.7482","","0.03%"
"09/09/2015","3.7482","3.7511","3.7523","3.7482","","-0.06%"
"09/08/2015","3.7505","3.7517","3.7524","3.7492","","0.00%"
"09/07/2015","3.7505","3.7507","3.7512","3.7494","","-0.02%"
"09/06/2015","3.7511","3.7511","3.7511","3.7510","","0.04%"
"09/05/2015","3.7497","3.7497","3.7497","3.7497","","0.00%"
"09/04/2015","3.7497","3.7506","3.7512","3.7488","","-0.02%"
"09/03/2015","3.7506","3.7506","3.7515","3.7496","","0.01%"
"09/02/2015","3.7502","3.7507","3.7515","3.7500","","-0.01%"
"09/01/2015","3.7507","3.7500","3.7513","3.7496","","0.00%"
"08/31/2015","3.7506","3.7513","3.7515","3.7502","","-0.01%"
"08/30/2015","3.7511","3.7511","3.7513","3.7503","","0.00%"
"08/29/2015","3.7510","3.7510","3.7510","3.7510","","0.00%"
"08/28/2015","3.7510","3.7515","3.7521","3.7506","","0.01%"
"08/27/2015","3.7508","3.7516","3.7523","3.7504","","-0.01%"
"08/26/2015","3.7511","3.7501","3.7515","3.7492","","0.02%"
"08/25/2015","3.7502","3.7508","3.7519","3.7492","","-0.02%"
"08/24/2015","3.7510","3.7508","3.7519","3.7496","","0.01%"
"08/23/2015","3.7507","3.7503","3.7512","3.7500","","0.01%"
"08/22/2015","3.7504","3.7508","3.7508","3.7504","","0.00%"
"08/21/2015","3.7505","3.7508","3.7520","3.7500","","-0.01%"
"08/20/2015","3.7508","3.7504","3.7519","3.7494","","0.00%"
"08/19/2015","3.7508","3.7510","3.7517","3.7492","","-0.02%"
"08/18/2015","3.7515","3.7513","3.7520","3.7500","","0.00%"
"08/17/2015","3.7515","3.7512","3.7520","3.7500","","0.01%"
"08/16/2015","3.7510","3.7502","3.7512","3.7492","","-0.01%"
"08/15/2015","3.7515","3.7508","3.7515","3.7508","","0.00%"
"08/14/2015","3.7515","3.7514","3.7520","3.7498","","0.00%"
"08/13/2015","3.7515","3.7515","3.7522","3.7502","","0.02%"
"08/12/2015","3.7508","3.7506","3.7519","3.7496","","0.01%"
"08/11/2015","3.7504","3.7502","3.7516","3.7492","","0.01%"
"08/10/2015","3.7502","3.7504","3.7516","3.7491","","-0.01%"
"08/09/2015","3.7504","3.7501","3.7516","3.7492","","0.00%"
"08/08/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"08/07/2015","3.7503","3.7513","3.7513","3.7501","","0.00%"
"08/06/2015","3.7503","3.7500","3.7511","3.7492","","0.01%"
"08/05/2015","3.7500","3.7500","3.7518","3.7492","","0.00%"
"08/04/2015","3.7500","3.7504","3.7518","3.7493","","-0.01%"
"08/03/2015","3.7503","3.7503","3.7516","3.7492","","0.00%"
"08/02/2015","3.7503","3.7501","3.7516","3.7491","","0.00%"
"08/01/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"07/31/2015","3.7503","3.7506","3.7513","3.7490","","0.00%"
"07/30/2015","3.7502","3.7501","3.7516","3.7491","","0.00%"
"07/29/2015","3.7501","3.7500","3.7516","3.7491","","0.00%"
"07/28/2015","3.7500","3.7501","3.7516","3.7490","","0.00%"
"07/27/2015","3.7501","3.7502","3.7516","3.7488","","0.00%"
"07/26/2015","3.7502","3.7501","3.7516","3.7491","","0.00%"
"07/25/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"07/24/2015","3.7503","3.7504","3.7511","3.7500","","0.00%"
"07/23/2015","3.7503","3.7504","3.7516","3.7494","","0.00%"
"07/22/2015","3.7504","3.7509","3.7516","3.7491","","0.00%"
"07/21/2015","3.7504","3.7506","3.7517","3.7500","","0.00%"
"07/20/2015","3.7504","3.7504","3.7505","3.7498","","0.00%"
"07/19/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"07/18/2015","3.7503","3.7503","3.7503","3.7503","","-0.01%"
"07/17/2015","3.7505","3.7502","3.7510","3.7500","","0.00%"
"07/16/2015","3.7504","3.7510","3.7517","3.7498","","-0.01%"
"07/15/2015","3.7506","3.7506","3.7510","3.7497","","0.00%"
"07/14/2015","3.7506","3.7507","3.7517","3.7489","","0.00%"
"07/13/2015","3.7506","3.7505","3.7516","3.7486","","0.00%"
"07/12/2015","3.7505","3.7506","3.7516","3.7491","","0.00%"
"07/11/2015","3.7504","3.7504","3.7504","3.7504","","0.00%"
"07/10/2015","3.7504","3.7511","3.7511","3.7500","","0.00%"
"07/09/2015","3.7503","3.7506","3.7518","3.7492","","0.00%"
"07/08/2015","3.7504","3.7507","3.7511","3.7484","","0.01%"
"07/07/2015","3.7502","3.7505","3.7516","3.7485","","-0.01%"
"07/06/2015","3.7506","3.7506","3.7517","3.7485","","0.00%"
"07/05/2015","3.7505","3.7505","3.7516","3.7491","","0.00%"
"07/04/2015","3.7504","3.7504","3.7504","3.7504","","0.00%"
"07/03/2015","3.7505","3.7504","3.7513","3.7498","","0.01%"
"07/02/2015","3.7501","3.7503","3.7516","3.7486","","-0.01%"
"07/01/2015","3.7504","3.7506","3.7517","3.7487","","0.00%"
"06/30/2015","3.7505","3.7505","3.7516","3.7488","","-0.01%"
"06/29/2015","3.7507","3.7500","3.7516","3.7481","","0.02%"
"06/28/2015","3.7501","3.7505","3.7505","3.7496","","-0.01%"
"06/27/2015","3.7504","3.7504","3.7504","3.7504","","0.04%"
"06/26/2015","3.7489","3.7515","3.7520","3.7489","","-0.04%"
"06/25/2015","3.7504","3.7504","3.7516","3.7489","","0.00%"
"06/24/2015","3.7504","3.7500","3.7517","3.7489","","0.01%"
"06/23/2015","3.7500","3.7511","3.7518","3.7493","","-0.02%"
"06/22/2015","3.7506","3.7515","3.7527","3.7494","","0.01%"
"06/21/2015","3.7501","3.7527","3.7527","3.7501","","-0.01%"
"06/20/2015","3.7503","3.7503","3.7503","3.7503","","0.01%"
"06/19/2015","3.7500","3.7511","3.7511","3.7493","","0.00%"
"06/18/2015","3.7500","3.7500","3.7518","3.7481","","-0.01%"
